Significant,pvalue,Difference,Protein.Group,Protein.Ids,Protein.Names,Genes
+,3.024643006,-1.718272527,P62805,P62805,H4_HUMAN,H4C1
+,1.21961879,-1.720478694,O15131,O15131,IMA6_HUMAN,KPNA5
+,2.505843898,-1.723163923,O15020;O15020-2,O15020;O15020-2,SPTN2_HUMAN,SPTBN2
+,1.246142656,-1.725635211,Q13367-3,Q13367;Q13367-3;Q13367-4,AP3B2_HUMAN,AP3B2
+,2.402091466,-1.740483284,Q9Y2W1,Q9Y2W1,TR150_HUMAN,THRAP3
+,1.848087981,-1.747356097,O95969,O95969,SG1D2_HUMAN,SCGB1D2
+,3.728584735,-1.749369939,Q6PK04,Q6PK04,CC137_HUMAN,CCDC137
+,2.233397558,-1.763080597,Q5M775,Q5M775;Q5M775-2,CYTSB_HUMAN,SPECC1
+,3.04391436,-1.776049932,Q5UIP0;Q5UIP0-2,Q5UIP0;Q5UIP0-2,RIF1_HUMAN,RIF1
+,3.708319666,-1.777592977,Q27J81;Q27J81-2,Q27J81;Q27J81-2,INF2_HUMAN,INF2
+,2.783969872,-1.810506185,Q9BY77,Q9BY77;Q9BY77-2,PDIP3_HUMAN,POLDIP3
+,2.384873741,-1.811435699,Q9C0K3;Q9P1U1;Q9P1U1-2;Q9P1U1-3,Q9C0K3;Q9P1U1;Q9P1U1-2;Q9P1U1-3,ARP3B_HUMAN;ARP3C_HUMAN,ACTR3B;ACTR3C
+,3.934132838,-1.813132604,Q01804,Q01804;Q01804-3;Q01804-4;Q01804-5,OTUD4_HUMAN,OTUD4
+,1.04039069,-1.820792834,Q8NHZ8,Q8NHZ8,CDC26_HUMAN,CDC26
+,0.905233611,-1.821109136,O00459,O00459,P85B_HUMAN,PIK3R2
+,1.110549452,-1.829556465,P20930,P20930,FILA_HUMAN,FLG
+,0.907965463,-1.830389659,Q16514;Q16514-2,Q16514;Q16514-2,TAF12_HUMAN,TAF12
+,1.910495888,-1.831597964,Q6PJ61,Q6PJ61,FBX46_HUMAN,FBXO46
+,1.992962164,-1.836469014,P25311,P25311,ZA2G_HUMAN,AZGP1
+,2.30477589,-1.847308795,P01040,P01040,CYTA_HUMAN,CSTA
+,3.994410934,-1.855129878,Q01082,Q01082;Q01082-2;Q01082-3,SPTB2_HUMAN,SPTBN1
+,2.24468982,-1.85737292,P06702,P06702,S10A9_HUMAN,S100A9
+,2.987752127,-1.863935471,Q8N5W9,Q8N5W9,RFLB_HUMAN,RFLNB
+,2.733451112,-1.892716726,Q9NYF8;Q9NYF8-2;Q9NYF8-3,Q9NYF8;Q9NYF8-2;Q9NYF8-3;Q9NYF8-4,BCLF1_HUMAN,BCLAF1
+,3.190925861,-1.904061,O95425-4,O95425;O95425-2;O95425-3;O95425-4,SVIL_HUMAN,SVIL
+,4.062013514,-1.918905894,Q16643;Q16643-3,Q16643;Q16643-2;Q16643-3,DREB_HUMAN,DBN1
+,2.722676631,-1.956600825,P62899;P62899-2;P62899-3,P62899;P62899-2;P62899-3,RL31_HUMAN,RPL31
+,2.120152896,-1.966403961,Q9BTC0;Q9BTC0-1,Q9BTC0;Q9BTC0-1;Q9BTC0-2;Q9BTC0-3,DIDO1_HUMAN,DIDO1
+,1.54505133,-1.969378471,Q9H3P2,Q9H3P2,NELFA_HUMAN,NELFA
+,0.874459817,-1.973656336,Q13867,Q13867,BLMH_HUMAN,BLMH
+,1.619961419,-2.008648872,Q96M96,Q96M96,FGD4_HUMAN,FGD4
+,2.16681879,-2.012275696,P31944,P31944,CASPE_HUMAN,CASP14
+,0.936852709,-2.018047969,P10114;P61225;Q9Y3L5,P10114;P61225;Q9Y3L5,RAP2A_HUMAN;RAP2B_HUMAN;RAP2C_HUMAN,RAP2A;RAP2B;RAP2C
+,3.61658283,-2.022989909,Q9UHB6,Q9UHB6;Q9UHB6-2;Q9UHB6-4;Q9UHB6-5,LIMA1_HUMAN,LIMA1
+,3.486738678,-2.043625514,Q9P1Y5,Q9P1Y5;Q9P1Y5-2,CAMP3_HUMAN,CAMSAP3
+,2.948034663,-2.051807404,O00488,O00488,ZN593_HUMAN,ZNF593
+,3.519714518,-2.086699804,Q9H0G5,Q9H0G5,NSRP1_HUMAN,NSRP1
