#GeneID,Symbol,GeneInfo,# elements 1,casTLE Effect 1,casTLE Score 1,# elements 2,casTLE Effect 2,casTLE Score 2,Combo casTLE Effect,Combo casTLE Score,casTLE p-value,Minimum Effect Estimate,Maximum Effect Estimate
ENSG00000148606,POLR3A,"polymerase (RNA) III (DNA directed) polypeptide A, 155kDa",10,-2.1,16.4,10,0.8,14.8,-2,16.8,0.0192,-4,1.2
ENSG00000141425,RPRD1A,regulation of nuclear pre-mRNA domain containing 1A,10,-0.8,18.2,10,-0.4,4.29,-0.6,20.5,0.0194,-1.2,-0.4
ENSG00000106078,COBL,cordon-bleu WH2 repeat protein,10,-0.7,1.06,10,-2.2,22.1,-2.1,20.5,0.0194,-4,-1.4
ENSG00000160208,RRP1B,ribosomal RNA processing 1B,10,-1.7,18,10,-0.4,6.06,-1.5,20.5,0.0194,-2.4,-0.4
ENSG00000167615,LENG8,leukocyte receptor cluster (LRC) member 8,10,-0.6,16.4,10,-0.7,4.53,-0.7,20.5,0.0194,-1.1,-0.4
ENSG00000204392,LSM2,"LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)",7,-0.9,20.3,8,-0.4,2.43,-0.8,20.5,0.0194,-1.4,-0.4
ENSG00000100413,POLR3H,polymerase (RNA) III (DNA directed) polypeptide H (22.9kD),10,-1.5,5.83,10,-1.5,11.2,-1.5,16.7,0.0195,-3,1.1
ENSG00000135363,LMO2,LIM domain only 2 (rhombotin-like 1),10,-1.3,9.86,10,-1.4,7.45,-1.4,16.7,0.0195,-2.4,-0.8
ENSG00000135913,USP37,ubiquitin specific peptidase 37,10,-0.2,1.7,10,-1.6,24.6,-1.6,21.5,0.0197,-2.9,-0.4
ENSG00000076043,REXO2,RNA exonuclease 2,10,-0.3,5.34,10,-1.3,19.8,-1.2,21.5,0.0197,-1.8,-0.8
ENSG00000197846,HIST1H2BF,"histone cluster 1, H2bf",10,-1.2,13,9,-0.8,9.81,-0.9,21.5,0.0197,-1.7,-0.7
ENSG00000070495,JMJD6,jumonji domain containing 6,10,-1.6,13.8,10,-1.1,8.3,-1.4,20.4,0.0197,-2.5,-0.6
ENSG00000175550,DRAP1,DR1-associated protein 1 (negative cofactor 2 alpha),10,-1.3,8.62,10,-1.8,13.4,-1.7,20.4,0.0197,-2.8,-1.1
ENSG00000185885,IFITM1,interferon induced transmembrane protein 1,10,0.5,7.46,10,0.4,9.55,0.4,16.6,0.0198,0.2,0.8
ENSG00000107949,BCCIP,BRCA2 and CDKN1A interacting protein,10,0.6,3.63,10,0.5,13.4,0.5,16.6,0.0198,0.3,0.9
ENSG00000141646,SMAD4,SMAD family member 4,10,0.4,5.21,10,0.5,11.9,0.5,16.5,0.02,0.3,0.8
ENSG00000181222,POLR2A,"polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",9,-1.4,12.9,9,-1.3,3.94,-1.4,16.5,0.02,-2.4,-0.7
ENSG00000206557,TRIM71,"tripartite motif containing 71, E3 ubiquitin protein ligase",10,0.3,1.47,10,0.6,21.7,0.5,21.4,0.0201,0.3,1
ENSG00000178206,CYP4F31P,N/A,10,0.2,0.405,10,1.4,19.2,1.4,16.4,0.0202,0.3,3
ENSG00000157212,PAXIP1,PAX interacting (with transcription-activation domain) protein 1,10,-1.9,11.7,10,-1.6,5.55,-1.7,16.4,0.0202,-2.9,-1.3
ENSG00000148308,GTF3C5,"general transcription factor IIIC, polypeptide 5, 63kDa",10,-1.3,13.3,10,-0.8,8.94,-1.1,20.3,0.0203,-1.7,-0.7
ENSG00000105705,SUGP1,SURP and G patch domain containing 1,10,-1,16.7,10,-0.6,5.58,-0.9,20.3,0.0203,-1.4,-0.5
ENSG00000124217,MOCS3,molybdenum cofactor synthesis 3,10,0.8,19.2,10,0.6,1.85,0.7,20.3,0.0203,0.5,1.2
ENSG00000138778,CENPE,"centromere protein E, 312kDa",10,1.4,15.7,9,-0.4,5.29,2.1,16.3,0.0204,1,3.4
ENSG00000182220,ATP6AP2,"ATPase, H+ transporting, lysosomal accessory protein 2",10,-0.9,5.35,10,-0.7,11.5,-0.7,16.3,0.0204,-1.4,-0.4
ENSG00000170323,FABP4,"fatty acid binding protein 4, adipocyte",10,1.7,8.45,10,1.1,14.7,1.6,21.3,0.0205,0.9,2.8
ENSG00000257955,RP1-228P16.5,N/A,9,-0.5,2.94,9,-1.9,22.5,-1.9,21.3,0.0205,-3,-1.2
ENSG00000186119,OR5D18,"olfactory receptor, family 5, subfamily D, member 18",10,0.1,0.533,10,-1.9,24.9,-1.9,21.3,0.0205,-3,-0.9
ENSG00000228537,AL353608.1,N/A,10,-1.2,15.4,10,-0.9,7.2,-0.9,21.3,0.0205,-1.7,-0.6
ENSG00000162607,USP1,ubiquitin specific peptidase 1,10,0.5,3.05,10,0.8,14.3,0.7,16.2,0.0205,0.4,1.3
ENSG00000112249,ASCC3,activating signal cointegrator 1 complex subunit 3,10,1.2,10.9,10,1.3,5.76,1.2,16.2,0.0205,-0.4,2
ENSG00000011304,PTBP1,polypyrimidine tract binding protein 1,10,0.9,18.7,10,0,0,0.8,16.2,0.0205,0.4,1.5
ENSG00000223417,TRIM49D1,tripartite motif containing 49D1,10,-1.4,8.11,10,-1.7,9.48,-1.6,16.2,0.0205,-2.9,-1
ENSG00000168763,CNNM3,cyclin M3,10,0.6,12.4,10,0.4,5.05,0.5,16.2,0.0205,0.3,0.9
ENSG00000143374,TARS2,"threonyl-tRNA synthetase 2, mitochondrial (putative)",8,-0.7,19.7,8,-0.3,2.44,-0.7,20.2,0.0208,-1.2,-0.4
ENSG00000107371,EXOSC3,exosome component 3,10,-0.3,2.39,10,2.6,23.9,2.6,20.2,0.0208,1.8,5
ENSG00000132768,DPH2,DPH2 homolog (S. cerevisiae),10,-0.5,5.81,10,-1.9,20.8,-1.8,20.2,0.0208,-3.2,-0.3
ENSG00000171681,ATF7IP,activating transcription factor 7 interacting protein,10,1.3,22.4,10,0.2,0.776,1.3,20.2,0.0208,0.9,2
ENSG00000164104,HMGB2,high mobility group box 2,10,-1.9,16.8,10,-0.9,1.95,-1.9,16.1,0.0208,-3.2,-0.6
ENSG00000185686,PRAME,preferentially expressed antigen in melanoma,10,0.9,6.8,10,0.7,9.97,0.7,16.1,0.0208,0.4,1.3
ENSG00000124216,SNAI1,snail family zinc finger 1,10,0.6,18.8,10,-0.3,0.97,0.6,16.1,0.0208,0.3,1.1
ENSG00000172115,CYCS,"cytochrome c, somatic",9,-1,14.4,9,0.7,14.8,0.8,15.9,0.0211,-0.8,2
ENSG00000180917,CMTR2,cap methyltransferase 2,10,-0.7,18.2,10,-0.1,0.311,-0.7,15.9,0.0211,-1.4,-0.4
ENSG00000139714,MORN3,MORN repeat containing 3,10,1.6,20.9,10,1.1,0.254,1.6,20.1,0.0214,1.1,3
