Table S1. Endogenous mRNA stability,,,,,
,,,,,
All half-lives are in hours,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cell lines 1 and 4,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cell lines 2 and 3,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cel lines 5 and 6,,,,,
DMSO: Endogenous mRNA half-lives calculated with cell lines 1 and 4 treated with DMSO,,,,,
4EGI-1: Endogenous mRNA half-lives calculated with cell lines 1 and 4 treated with 4EGI-1,,,,,
,,,,,
Gene.Name,Cell lines 1 and 4,Cell lines 2 and 3,Cell lines 5 and 6,DMSO treatment,4EGI-1 treatment
ACTL6A,71.50525355,1.591834075,2.659366912,9.974220882,7.898708945
ACTN1,23.05607768,2.446136928,2.77837881,9.953352351,7.52220256
ACTN2,2.984128206,NA,NA,1.130741103,2.730667391
ACTN4,72.13683663,6.72860626,7.045962566,12.5081885,6.112914852
ACTR10,25.62720199,2.43372455,3.620057059,19.34866137,2.751117293
ACTR1A,65.12876011,3.774144082,4.652353678,10.56636371,14.13369383
ACTR1B,20.75839606,3.918765399,3.889561626,6.549444895,7.095023027
ACTR2,16.96500207,1.76998436,2.489300212,12.64576823,5.820362209
ACTR3B,7.541580521,0.911999836,1.597065597,5.351321628,2.517014773
ACTR3,32.1340296,1.388603812,2.624740233,14.39074793,8.00577448
ACTR5,10.31539098,1.330022782,1.851735671,12.26417584,3.598722873
ACTR6,18.80473725,0.32418135,1.091078476,9.473591541,4.42301653
ACTR8,5.929794455,NA,0.41374371,2.50787806,3.208727978
ACTRT3,0.701920772,NA,0.329332502,1.092195012,0.29347878
ACVR1B,6.803079271,0.493317275,0.869344856,3.714997498,4.49939079
ACVR1C,NA,NA,5.751185811,5.792044503,NA
ACVR1,4.550564146,NA,0.438070002,5.299581127,5.254499103
ACVR2A,7.401968235,NA,NA,3.0281201,3.310394016
ACVR2B,NA,11.2939524,5.887500311,148.8856763,10.27289759
ACYP1,NA,17.77343944,26.30591554,NA,30.0435693
ADAL,5.674647289,0.158467698,0.346368072,3.127438352,3.377489756
ADAM10,5.090294346,NA,NA,1.964431578,5.063536096
