	HCC38-2	HCC1806-1	MDA-MD-453-2	MDA-MB-231-1	MCF7-2	ZR-75-2	MCF7-1	ZR-75-1	MDA-MB-231-2	MDA-MD-453-1	HCC38-1	HCC1806-2
ROBO3	0.008634223	0.009983361		0.011691720353137676				0.017241379310344827	0.021374396690415996	0.003003003	0.007468492	0.001180638
CCDC15	0.007240204	0.006314581	0.015603982	0.029637152617486843	0.001652893	0.002546689	0.001912046	0.00331625	0.040731504571903575	0.013597733711048159	0.000788644	0.012360939431396786
TMEM218	0.009927798	0.008587977	0.020538243626062325	0.019334172291499828	0.008423955	0.004821111	0.007486275	0.006376196	0.01838186	0.014149581287900665	0.001425178	0.008378328
FEZ1	0.005025126	0.006896552			0.005807201		0.001455604				0.002617801	0.005587893
EI24	0.006893962	0.008431415	0.011118920600536934	0.017772982991186122	0.00946709	0.009840669	0.008246094	0.006428404	0.016214975	0.010237686139747995	0.009089936	0.009131254
STT3A	0.00344667	0.006485138	0.008647464	0.012901684	0.006251994	0.00241044	0.007189446	0.006530842	0.010148955438278737	0.009306866	0.010304942166140904	0.005283259
CHEK1	0.009468439	0.019590728348365824	0.022674418604651164	0.023531487034750397	0.006532462	0.014491671024127885	0.003882553	0.011396232266067136	0.028356247472705216	0.021278236065068228	0.014606396	0.013610608096267305
HYLS1	0.034511435	0.041796631316281974	0.099029126	0.060875331564986736	0.034653465346534656	0.013167013167013167	0.023084200567644278	0.045226969292389854	0.067052023	0.048731547	0.030671296296296297	0.044664297377773506
PUS3	0.022891055532005086	0.041658574480481644	0.044923396520384316	0.050670819357930046	0.057176391683433934	0.039060366	0.035685538	0.015550239	0.05257446	0.070819672	0.034168157423971376	0.03830279
RPUSD4	0.00989238	0.022386483632523758	0.019099269	0.021010890151515152	0.025502436	0.013419974572679757	0.016925574	0.015954182859480467	0.026487817301978096	0.026997477	0.012399256044637322	0.025796661608497723
SRPRA	0.00839822	0.024158757549611734	0.025257634191060252	0.023429311	0.014161692892023875	0.007276995	0.010432549554610385	0.010994218557482702	0.017583521728208994	0.031005772079481023	0.009675453	0.014242595736653462
DCPS	0.007501875	0.001349528	0.012191405	0.000583771	0.002232974		0.002941176	0.000841751	0.023860021	0.009376891	0.003221649	0.006404782
ST3GAL4	0.009351257		0.011648745519713262	0.027481542247744052	0.030112923462986198	0.014670320812510075	0.00096432	0.008616047	0.017994858611825194	0.000995025	0.001279318	0.015037593984962405
RP11-676M6.1	0.00561511	0.03	0.027120315581854043	0.023025084238113065	0.032060027285129605	0.020599250936329586	0.014347202295552367	0.025045816	0.016710432	0.039618489	0.015200869	0.028608583
ETS1	0.024364654	0.022989221855336115		0.053282493368700265					0.045502501446414594		0.024565577	0.025546492659053833
TMEM45B	0.016582552	0.006189213	0.011853162317558603	0.016750419	0.019641200123724094	0.004945807	0.020586721564590838	0.006992403	0.005385996	0.013722059229828047	0.024049651	0.008898435
NFRKB	0.011029813257617123	0.022044605	0.020406406061649732	0.029889364739471805	0.02671156	0.005319894	0.019574068	0.012024048096192385	0.028717174	0.017915827	0.012115019705152533	0.019859591423692365
APLP2	0.004334696	0.007072924	0.005246507	0.008202116	0.006734639	0.007003649	0.006086132	0.004619516	0.008404409	0.006657203	0.005277728	0.007442093
