	TR_R4_Dap5_HD	TR_R4_Dap5_MD	TR_R4_Dap5_T	TR_R5_Dap5_HD	TR_R5_Dap5_MD	TR_R5_Dap5_T	TR_R11_NS_HD	TR_R11_NS_LD	TR_R11_NS_MD	TR_R11_NS_T	TR_R3_NS_HD	TR_R3_NS_LD	TR_R3_NS_MD	TR_R3_NS_T
ABHD11	615	419	505	889	337	635	675	503	875	664	562	634	927	600
ABHD11-AS1	6	8	6	4	10	3	1	10	2	1	1	2	2	1
ABHD12	1086	1902	1334	1788	1657	1405	990	2036	2006	1480	1184	2862	2193	1934
ABHD12B	1	1	0	0	2	0	0	1	1	0	0	0	0	0
ABHD13	339	769	406	251	947	545	274	751	523	490	228	617	369	537
ABHD14A	89	241	140	184	259	161	63	259	144	154	107	432	199	200
ABHD14A-ACY1	1	4	1	1	2	1	0	4	1	3	1	1	4	1
ABHD14B	700	717	620	853	592	540	566	885	1514	812	345	868	848	570
ABHD15	265	243	212	208	236	187	223	249	355	305	277	302	363	264
ABHD15-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	72	56	39	62	38	60	74	64	77	67	92	88	103	71
ABHD16B	1	0	1	2	0	0	0	3	0	0	0	0	0	0
ABHD17A	960	2708	1429	988	2430	1268	514	2499	861	1169	623	2199	1027	1181
ABHD17AP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP3	0	0	1	1	4	0	0	0	0	1	1	5	0	0
ABHD17AP4	0	0	0	0	2	0	0	0	0	0	0	2	0	0
ABHD17AP5	0	2	0	1	2	0	0	0	0	0	1	2	0	0
ABHD17AP6	0	2	0	0	3	0	0	0	0	0	0	0	0	0
ABHD17AP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	777	487	516	570	525	598	667	284	695	500	362	532	652	442
ABHD17C	1518	1817	1379	1409	1595	1544	761	1344	1579	1053	851	1382	1457	1146
ABHD18	393	349	329	307	336	342	284	287	378	301	172	213	299	252
ABHD2	1894	788	1229	1583	915	2046	4423	1302	2684	3131	5352	1404	3775	2998
ABHD3	333	186	245	253	169	331	520	209	412	422	778	269	629	469
ABHD4	2638	1232	2036	1714	644	1252	1842	1006	2787	1746	1437	1292	2362	1353
ABHD5	2325	2313	1826	2000	1922	2098	1660	3177	4953	2858	1080	1652	2108	1605
ABHD6	508	495	497	539	379	422	301	484	698	445	458	780	1059	655
ABHD8	1041	1190	924	1004	739	739	293	733	883	549	384	1124	1038	703
ABI1	2076	912	1352	1716	1175	1756	3028	966	2466	2055	1546	1150	2488	1431
ABI1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI2	2233	2693	1862	1517	2514	2078	1489	2785	3015	2177	1044	1644	1289	1368
ABI3	3	7	2	2	5	2	9	35	29	24	4	4	7	4
ABI3BP	39	17	32	11	23	23	27	23	18	16	56	20	19	41
ABL1	5471	3030	4299	4672	3599	4930	4436	2954	4729	4391	5297	3674	5625	4363
ABL2	4712	2555	3608	2882	2959	4643	7301	5207	5254	7294	6865	2528	3853	4009
ABLIM1	3395	2516	2374	2085	2822	2931	1898	2566	3746	2559	1772	2568	1919	2151
ABLIM2	25	19	19	7	11	16	11	26	15	23	6	15	19	12
ABLIM3	1562	2177	1489	1209	2137	1551	1554	2103	1599	1801	1594	1566	1563	1573
ABO	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABR	4148	2329	3112	3318	1861	3232	4604	2417	3561	4131	4492	2382	3749	3322
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	1199	4487	1807	1139	3753	1647	748	6537	2139	2814	601	2531	878	2290
ABT1	1851	3052	1727	1824	2909	1869	814	2931	2852	1732	768	3158	1871	1801
ABT1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABTB1	388	386	321	370	325	285	362	421	405	418	298	358	360	310
ABTB2	1113	393	796	837	391	743	1271	476	705	923	1538	663	1021	979
AC000003.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000003.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000029.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000032.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000035.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000036.4	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC000041.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000041.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000067.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000068.10	1	1	1	1	1	0	1	2	0	0	2	2	0	5
AC000068.5	3	16	10	7	16	9	1	4	8	10	3	9	3	4
AC000068.9	0	3	5	2	7	3	1	3	0	2	0	1	3	0
AC000077.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000078.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000081.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000089.3	43	44	60	68	62	56	21	29	89	40	25	54	53	35
AC000095.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000099.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000123.2	42	7	29	22	13	32	74	17	31	42	70	23	28	34
AC000123.3	0	0	1	4	4	0	4	0	2	2	15	0	8	8
AC000123.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000124.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000362.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000367.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
