db_gene_symbol,ensembl_gene,gs_name,gs_description,gs_source_species
CLIC1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CLIC3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CLN8,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CLPP,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CLTA,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CLTB,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CMTM7,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CNN2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CNN3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CNOT7,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COASY,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COG4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COL5A2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COMMD5,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COMMD6,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COMTD1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COPE,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COPS2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COPS6,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COPS7A,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COPS7B,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COPZ1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COQ9,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CORO1A,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CORO1B,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COTL1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COX17,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COX5B,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COX6B1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COX7A2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COX7A2L,NA,eIF4E activated translation,PMID 41102449,homo sapiens
COX8A,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CPSF4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CRADD,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CRB3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CREB3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CREM,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CRIP2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CRIPT,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CRLS1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CRYAB,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CRYL1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CSNK1D,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CSNK1G2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CSNK2A1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CSNK2B,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CSRP1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CSRP2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CTBP1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CTDSP2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CTSO,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CTTN,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CUEDC2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CUTA,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CUTC,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CXXC1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CXXC5,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CYB5A,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CYB5B,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CYB5R2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CYC1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CYFIP2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CYGB,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CYHR1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CYYR1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DAD1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DALRD3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DAP,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DAXX,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DBI,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DBNDD2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DBP,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DCPS,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DCTD,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DCTN2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DCTN5,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DCUN1D3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DCUN1D5,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DDA1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DDAH2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DDIT3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DDT,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DDX41,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DDX56,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DEAF1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DECR2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DEDD,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DEDD2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DENND1A,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DEXI,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DFFA,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DGAT1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DGKZ,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DGUOK,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DHODH,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DHPS,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DNAJB2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DNAJB6,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DNAJC8,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DNASE1L1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DNPEP,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DNTTIP1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DPF2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DPM2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DPP7,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DR1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DRAP1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DRG1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DRG2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DSTN,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DUS3L,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DUSP14,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DUSP23,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DVL3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DYNLL2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
DYRK3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EBP,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EDF1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EFHD2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EGLN2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EHD3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EHF,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EI24,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EIF2B2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EIF2B4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EIF4E2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EIF4EBP1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EIF5A,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ELF4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ELOF1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EMD,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EMG1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EMP2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ENSA,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ENTPD6,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EPHB2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ERAL1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ERCC1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ESRRA,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ETHE1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ETV5,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EXOSC1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EXOSC3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EXOSC4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EXOSC5,NA,eIF4E activated translation,PMID 41102449,homo sapiens
EXOSC7,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FADS2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FAH,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FAHD2A,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FAM32A,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FAM49A,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FAM50A,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FAM83F,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FAM89B,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FASTK,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FBL,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FBLIM1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FBXL16,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FBXO2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FBXO22,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FBXO25,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FBXO42,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FBXW2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FBXW4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FBXW5,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FDFT1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FDPS,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FEZ1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FGD1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FGFR2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FHL1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FHL3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FIBP,NA,eIF4E activated translation,PMID 41102449,homo sapiens
